Question,Answer
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 150/2013 of 19 December 2012 sup- plementing Regulation (EU) No 648/2012 with regard to regulatory technical stand- ards specifying the details of the application for registration as a trade repository;","{""Organizations"":[""European Union (EU)"",""Trade Repository""],""Legislations"":[""Commission Delegated Regulation (EU) No 150/2013"",""Regulation (EU) No 648/2012""],""Dates"":[""Wed Dec 19 2012 01:00:00 GMT-0500 (Eastern Standard Time)""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 151/2013 of 19 December 2012 sup- plementing Regulation (EU) No 648/2012 with regard to regulatory technical stand- ards specifying the data to be published and made available by trade repositories and operational standards for aggregating, comparing and accessing the data;","{""Organizations"":[""European Union (EU)""],""Legislations"":[""Commission Delegated Regulation (EU) No 151/2013"",""Regulation (EU) No 648/2012""],""Dates"":[""Wed Dec 19 2012 01:00:00 GMT-0500 (Eastern Standard Time)""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 152/2013 of 19 December 2012 sup- plementing Regulation (EU) No 648/2012 with regard to regulatory technical stand- ards on capital requirements for central counterparties;","{""Organizations"":[""European Union (EU)""],""Legislations"":[""Commission Delegated Regulation (EU) No 152/2013"",""Regulation (EU) No 648/2012""],""Dates"":[""Wed Dec 19 2012 01:00:00 GMT-0500 (Eastern Standard Time)""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 153/2013 of 19 December 2012 sup- plementing Regulation (EU) No 648/2012 with regard to regulatory technical stand- ards on requirements for central counterparties;","{""Organizations"":[""European Union (EU)""],""Legislations"":[""Commission Delegated Regulation (EU) No 153/2013"",""Regulation (EU) No 648/2012""],""Dates"":[""Wed Dec 19 2012 01:00:00 GMT-0500 (Eastern Standard Time)""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Commission Delegated Regulation (EU) No 2017/2155 of 22 September 2017 amending Delegated Regulation (EU) No 149/2013 with regards to regulatory tech- nical standards on indirect clearing arrangements.","{""Organizations"":[""European Union (EU)""],""Legislations"":[""Commission Delegated Regulation (EU) No 2017/2155"",""Delegated Regulation (EU) No 149/2013""],""Dates"":[""Fri Sep 22 2017 01:00:00 GMT-0400 (Eastern Daylight Time)""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
- The derivative is concluded on 1 June 2018;
- notional of the contract: 1M€;
- maturity date of the contract: 31 December 2018;
- the swap is physically settled;
- Bank A sells EUR and gets GBP for the near leg (and delivers GBP and receives EUR for
the far leg);
- the exchange rate of the near leg is 0.88 EUR/GBP, while the exchange rate of the far leg
is 0.865 EUR/GBP;
- the two settlement dates are 01/08/2018 and 02/01/2019.","{""Organizations"":[""Bank A""],""Legislations"":[],""Dates"":[""1 June 2018"",""31 December 2018"",""01/08/2018"",""02/01/2019""],""Monetary Values"":[""1M€""],""Statistics"":[""Exchange rate of the near leg: 0.88 EUR/GBP"",""Exchange rate of the far leg: 0.865 EUR/GBP""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The FC belongs to both a group of undertakings referred to in Article 3(1) or Article 80(7) and (8) of Directive 2006/48/EC (CRD), and another group referred to in Articles 1 and 2 of Directive 83/349/EEC, and","{""Organizations"":[""FC""],""Legislations"":[""Article 3(1) of Directive 2006/48/EC (CRD)"",""Article 80(7) and (8) of Directive 2006/48/EC (CRD)"",""Articles 1 and 2 of Directive 83/349/EEC""],""Dates"":[],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
It could be challenging for a counterparty performing calculations a few days after the end of the previous month to calculate and use the month-end position of that month. For that reason, the counterparty could calculate with the 12-month period that started a month earlier and ended with the previous month- end. E.g. if a counterparty is performing calculations on 1 November 2019 and encounters difficulties with calculating its positions using the figures from 1 November 2018 to 31 October 2019, it can use a 12-month period ending on the previous month: from 1 October 2018 to 30 September 2019.","{""Organizations"":[],""Legislations"":[""1 November 2019"",""1 November 2018"",""31 October 2019"",""1 October 2018"",""30 September 2019""],""Dates"":[],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
A trade repository to which a request under Article 8 of Implementing Regulation (EU) 2022/1860 is addressed shall identify the outstanding derivatives referred to in paragraph 2 of Article 2 of Implementing Regulation (EU) 2022/1860 at the time of the corporate restructuring event, where the entity is reported with the identifier used before the corporate restructuring event in the field ‘Counterparty 1’ or ‘Counterparty 2’, as informed in the relevant request. It shall replace the old identifier with the new Legal Entity Identifier (‘LEI’) in the reports relating to all those derivatives at the time of the event referred to in Article 8 of Implementing Regulation (EU) 2022/1860 pertaining to that counterparty. A trade repository shall perform the procedure on the update of the identifier at the latest on the day of restructuring or within 30 calendar days as of receipt of the request if reported less than 30 calendar days prior to the date of the corporate restructuring event.","{""Organizations"":[""Trade repository""],""Legislations"":[""Article 8 of Implementing Regulation (EU) 2022/1860"",""Paragraph 2 of Article 2 of Implementing Regulation (EU) 2022/1860""],""Dates"":[""Within 30 calendar days as of receipt of the request if reported less than 30 calendar days prior to the date of the corporate restructuring event""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
A trade repository shall identify the relevant derivatives referred to in paragraph 2 of Article 2 of Implementing Regulation (EU) 2022/1860 at the time of the corporate restructuring event, where the entity is identified with the old identifier in any of the fields, and replace that identifier with the new LEI. Where a corporate restructuring event relates to an update of the LEI for fields other than ‘Counterparty 1’ or ‘Counterparty 2’, the trade repository shall perform such an update of the relevant derivatives only following a timely confirmation by counterparty 1 or the entity responsible for reporting.","{""Organizations"":[""None specified directly (generic references to \""trade repository"",""\"" \""counterparty 1"",""\"" and \""counterparty 2\"").""],""Legislations"":[""Implementing Regulation (EU) 2022/1860""],""Dates"":[],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
A trade repository shall carry out the following actions: broadcast the following information at the earliest possibility, and no later than 5 working days after the complete notification is received, to all the other trade repositories and to the reporting counterparties, report submitting entities, entities responsible for reporting involved in the derivatives contracts concerned by the LEI update, and to third parties which have been granted access to information under Article 78(7) of Regulation (EU) No 648/2012, as applicable:","{""Organizations"":[""Trade repositories"",""Reporting counterparties"",""Report submitting entities"",""Entities responsible for reporting"",""Third parties""],""Legislations"":[""Article 78(7) of Regulation (EU) No 648/2012""],""Dates"":[""No later than 5 working days""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
If a counterparty notifies ESMA and the relevant NCAs that it is above the clearing thresholds or that it has not calculated its positions against the clearing thresholds, it will become subject to the clearing obligation and will have to start clearing OTC derivative contracts (pertaining to a class of OTC derivatives which is subject to the clearing obligation) entered into or novated more than 4 months following such notification (i.e. entered into or novated on the first day following the end of this 4-month period or afterwards, for instance; for a notification on 15 January, the trades entered into or novated on 16 May or afterwards). If during this 4-month period, the counterparty demonstrates in accordance with Article 4a(2) and Article10(2) of EMIR for FCs and NFCs respectively to the relevant NCAs that it is below the clearing thresholds and notifies ESMA and the relevant NCAs accordingly, it will no longer be subject to the clearing obligation and will not have to start clearing at the end of the 4-month period.","{""Organizations"":[""ESMA"",""NCAs""],""Legislations"":[""Article 4a(2) of EMIR"",""Article 10(2) of EMIR""],""Dates"":[""15 January"",""16 May""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
find the average of the total amount across the 12 months by dividing that number by 12 for each asset class;","{""Organizations"":[],""Legislations"":[],""Dates"":[],""Monetary Values"":[],""Statistics"":[]}"
"A is an NFC
• B is an NFC in the same group as A, and B is the entity specialised in dealing derivatives with
entities outside the group
• A and B enter into an OTC derivative transaction, with a notional value of 100, e.g. A buys 100
and B sells 100
• B enters into an opposite transaction with an entity outside the group (C), i.e. B buys 100 from
C.","{""Organizations"":[""A"",""B"",""C""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""100""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
300, if the transaction between A and B does not satisfy the hedging conditions with respect to A, i.e. 100 for the buy transaction between A and B, 100 for the sell transaction between B and A, and 100 for the buy transaction between B and C.","{""Organizations"":[""A"",""B"",""C""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""100"",""300""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
 if a counterparty is performing calculations on 1 November 2019 and encounters difficulties with calculating its positions using the figures from 1 November 2018 to 31 October 2019, it can use a 12-month period ending on the previous month: from 1 October 2018 to 30 September 2019.","{""Organizations"":[],""Legislations"":[],""Dates"":[""1 November 2019"",""1 November 2018"",""31 October 2019"",""1 October 2018"",""30 September 2019""],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
ESMA is of the view that in the case of AIFs the exemption for intragroup transactions should be construed narrowly, and that in most cases it will not be possible for the exemption to be used. An AIF can only make use of the exemption for intragroup transactions if it has been established to form part of the same group (as defined in Article 2(16) of EMIR) as the counterparty to the OTC derivative contract and if it fulfils all the criteria for intragroup transactions set out in Article 3(2)(a)(i)(iv), (b), or (d) of EMIR.","{""Organizations"":[""ESMA"",""AIFs""],""Legislations"":[""Article 2(16) of EMIR"",""Article 3(2)(a)(i)(iv)"",""(b)"",""or (d) of EMIR""],""Dates"":[],""Monetary Values"":[],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
15 December 2014 (yearly requirement) if the NFC- is still a NFC- on 15 December 2013, and if the number of its outstanding contracts with Counterparty X was below 100 at all time during the previous reconciliation period, i.e. from 15 September 2013 to 15 December
2013. This should be assessed on the reconciliation date, i.e. on 15 December 2013.","{""Organizations"":[""NFC-"",""Counterparty X""],""Legislations"":[],""Dates"":[""15 December 2014"",""15 December 2013"",""15 September 2013""],""Monetary Values"":[],""Statistics"":[""Below 100 (number of its outstanding contracts with Counterparty X)""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
the position as defined in Article 26 of the RTS on CCP require- ments, respecting at least the confidence intervals of 99,5% for OTC derivatives and 99% for other financial instruments.","{""Organizations"":[],""Legislations"":[""Article 26 of the RTS on CCP requirements""],""Dates"":[],""Monetary Values"":[],""Statistics"":[""Confidence intervals of 99.5% for OTC derivatives"",""Confidence intervals of 99% for other financial instruments""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Article45(2)ofCommissionDelegatedReg- ulation (EU) No 153/2013 states that “not less than 95% of such cash” shall be deposited through “arrangements that ensure the collateralisation of the cash with highly liquid financial instru- ments...”","{""Organizations"":[],""Legislations"":[""Article 45(2) of Commission Delegated Regulation (EU) No 153/2013""],""Dates"":[],""Monetary Values"":[],""Statistics"":[""Not less than 95% of such cash""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The size of the additional contribution is limited to a pre-defined monetary amount (e.g. an as- sessment of up to EUR XX million per clearing member)?","{""Organizations"":[],""Legislations"":[],""Dates"":[],""Monetary Values"":[""EUR XX million per clearing member""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The variation margin reduction is limited to a pre-defined monetary amount (e.g. an assess- ment of up to EUR XX million per clearing member)?","{""Organizations"":[],""Legislations"":[],""Dates"":[],""Monetary Values"":[""EUR XX million per clearing member""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The valuation of the contract drops so that the VM requirement of A is reduced to 9.8 million. However, the MTA is set at 500,000.","{""Organizations"":[""A""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""9.8 million"",""500"",""000""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The valuation of the contract drops further and A needs to return additionally 1.8 million VM back to B. The total amount of VM returned by A is 2 million (0.2 million + 1.8 million).","{""Organizations"":[""A"",""B""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""1.8 million"",""2 million (0.2 million + 1.8 million)"",""0.2 million""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
 Due to valuation of the contract15 B has to provide 10 million as VM to A.","{""Organizations"":[""A"",""B""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""10 million""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The valuation of the contract rises and A receives 5 million VM from B.","{""Organizations"":[""A"",""B""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""5 million""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The valuation of the contract drops again and turns negative for A. Therefore A has to provide 20 million VM to B.","{""Organizations"":[""A"",""B""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""20 million""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
A partially sells the contract and receives 5 million VM back from B.","{""Organizations"":[""A"",""B""],""Legislations"":[],""Dates"":[],""Monetary Values"":[""5 million""],""Statistics"":[]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Counterparty 1 concludes a new trade 789 with the Counterparty 2 with quantity 5000. The trade in compressed into the existing position ABCD on the same day. Hence, the trade is reported by the Counterparty 1 on the following day with Action type “Position component” (“P”).","{""Organizations"":[""Counterparty 1"",""Counterparty 2""],""Legislations"":[],""Dates"":[""On the same day (for trade compression)"",""Following day (for reporting)""],""Monetary Values"":[],""Statistics"":[""5000 (quantity of the new trade)\n789 (trade identifier)\nABCD (existing position identifier)""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Upon compression, trade 789 is included into the position ABCD. This is reported on the following day as modification of the position by increase in the quantity from 10 000 to 15 000.
","{""Organizations"":[],""Legislations"":[],""Dates"":[""Following day (as modification of the position)""],""Monetary Values"":[],""Statistics"":[""Increase in the quantity from 10"",""000 to 15"",""000""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
Another trade between the counterparties with quantity 7.000 takes place on 28.08.2015 and is compressed into the existing position. Counterparty reports the conclusion and compression of the trade using the Action type “Position component”.
","{""Organizations"":[""Counterparties""],""Legislations"":[],""Dates"":[""28.08.2015""],""Monetary Values"":[],""Statistics"":[""Quantity 7"",""000""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
The position is modified by increase in the quantity from 15 000 to 22 000 28.08.2015. The modification is reported on the following day.","{""Organizations"":[],""Legislations"":[],""Dates"":[""28.08.2015 (position modification)"",""Following day (modification reporting)""],""Monetary Values"":[],""Statistics"":[""Increase in the quantity from 15"",""000 to 22"",""000""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
On 29.08.2015 the total of 22.000 quantity is sold. The new transaction is also netted into the position on the same day. Accordingly, the counterparty reports the transaction with Action type “Position component” (“P) and indicating it is a “Sell”.","{""Organizations"":[""Counterparty""],""Legislations"":[],""Dates"":[""29.08.2015""],""Monetary Values"":[],""Statistics"":[""Total of 22"",""000 quantity""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
No new trades are concluded on 30-31.09.2015. Given that the position has not been terminated, Counterparty submits only the Valuation reports, with valuation and collateral amounts equal to zero.
","{""Organizations"":[""Counterparty""],""Legislations"":[],""Dates"":[""30-31.09.2015""],""Monetary Values"":[],""Statistics"":[""Valuation and collateral amounts equal to zero""]}"
"Given the following text, only list the following for each: specific Organizations, Legislations, Dates, Monetary Values, and Statistics
 On 01.09.2015 a new trade with quantity 300 takes place between the same counterparties and is compressed into the previous position.","{""Organizations"":[""Counterparties""],""Legislations"":[],""Dates"":[""01.09.2015""],""Monetary Values"":[],""Statistics"":[""Quantity 300""]}"
